2/7/1948,13:27,Off Jacksonville,United States,Eastern Air Lines,unknown,Lockheed L-649 Constellation,Lockheed  Constellation,69,1,the no. 3 propeller failed and penetrated the fuselage killing a purser.the failure of a propeller blade due to high stresses induced by accumulative engine malfunctioning.,Passenger
2/12/1948,0:00,Ubrichstein,Germany,Det Danske Luftfartselskab,Giessen - Bad Homberg,Douglas DC-3,Douglas,21,12,crashed while on approach to frankfurt.,Passenger
2/20/1948,0:00,Collesalvetti,Italy,Società Aerea Teseo,Florence - Rome,Douglas C-47-DL,Douglas,10,7,"the pilot chose to fly the short distance between florence and  rome below the cloud base. the weather suddenly became worse and the plane entered clouds at low level, drifted off course and struck a hill.",Passenger
2/21/1948,0:00,Off St. Marcouf,France,Latecoere Airlines,unknown,Latecoere 631,Latecoere,14,14,the aircraft was seen at ste. mere l'eglise where it passed very low in poor weather and snow showers before crashing into the sea.,Passenger
2/23/1948,0:00,Davao,Philippines,Commercial Airways,unknown,Douglas DC-3,Douglas,12,12,crashed  5 minutes after taking off from mati.,Passenger
2/25/1948,6:00,Columbus,United States,Bruning Aviation,"Pittsburgh, PA - Columbus, OH",Douglas C-47A,Douglas,2,2,the cargo plane struck trees while attempting to land.the continuation of an instrument approach below an altitude sufficient to clear the terrain en route.,Cargo/Service
2/27/1948,0:00,Belem,Brazil,Military - Brazilian Air Force,"Rio de Janerio, Brazil - Cayenne, French Guianan",Douglas C-47,Douglas,26,23,"the plane, carrying brazilian service personnel and their dependents crashed and burned while en route.",Military
3/2/1948,0:00,Off Perpignan,France,Société de Transports Aériens,unknown,Junkers Ju-52/3m,Junkers,4,4,the cargo flight crashed into the sea.,Passenger
3/2/1948,21:14,Heathrow Airport,England,Sabena,Brussels - London,Douglas DC-3,Douglas,22,20,the plane crashed during a ground control approach in poor weather conditions. misjudgement by the pilot when attempting to land at night in conditions of low visibility. last dc-3 built.,Passenger
3/7/1948,0:00,Skalafell,Iceland,Loftleidir IcelandiAirlines,unknown,Avro Anson,Avro Anson,5,5,crashed into a mountain.,Passenger
3/10/1948,22:58,Chicago,United States,Delta Air Lines,Chicago - Miami,Douglas DC-4,Douglas,13,12,"during takeoff, the aircraft went into a near vertical climb to an altitude of 500 - 800 feet, stalled and crashed.  loss of longitudinal control of the airplane for reasons undetermined.",Passenger
3/12/1948,21:14,Mt. Sanford,United States,Northwest Orient Airlines,Anchorage - New York City,Douglas DC-4 (C-54G-1-DO),Douglas,30,30,"on a charter flight from lunghwa airport, shanghai to la guardia airport, new york the plane crashed into the western slope of mt. sanford at an altitude of 11,000 feet after taking off from anchorage, alaska. pilot's failure to see mt. sanford due to obscuring clouds or aurora borealis while flying a course off the airway.",Passenger
3/13/1948,0:00,Sierra Cristais,Brazil,Cruzeiro,unknown,Douglas DC-3,Douglas,6,6,struck the sierra cristais.,Passenger
3/15/1948,0:00,Villa Pinzon,Colombia,Agencia Interamericana de Aviada,unknown,Douglas DC-3 (C47-DL),Douglas,15,14,unknown,Passenger
3/27/1948,0:00,Monte Cardo,France,Indian National Airlines,Delhi - London,Vickers 604 Viking 1B,Vickers  Viking,19,19,"crashed into a 7,800 ft. mountain while en route.",Passenger
4/5/1948,0:00,Berlin,Germany,British European Airways / Military - Soviet Air Force,unknown,Vickers Viking 1B & Soviet YAK-3 fighter,Vickers Viking  & Soviet  fighter,15,15,"the aircraft was circling gatow in preparation for landing when the dc-3 collided head on with the russian air force yakovlev 3 fighter, which was performing aerobatics. a total of 14 killed on the vickers viking and one on the yak fighter. the collision was caused by the action of the yak fighter's pilot, which was in disregard of the accepted rules of flying.",Military
4/15/1948,2:35,Shannon,Ireland,Pan American World Airways,Belgium - Shannon,Lockheed L-049-46 Constellation,Lockheed  Constellation,31,30,"while executing a second instrument approach at shannon airport, the aircraft struck the ground 2,380 feet from the approach end of the intended runway, broke apart and burned. continuation of an instrument approach to an altitude insufficient to clear the terrain. the failure of a fluorescent light may have been a contributing cause. the plane was named clipper empress of the skies.",Passenger
8/13/1949,0:00,Bogota,Colombia,SAETA,Bogota - Ibague,Douglas C-47,Douglas,32,32,crashed in the andes mountains while  en route.,Passenger
5/13/1948,11:00,Magazini,Zaire,Sabena,Leopoldville - Libenga,Douglas DC-4-1009,Douglas,32,31,"while cruising, the aircraft penetrated a very turbulent line of clouds, lost height and crashed into a forest. the aircraft apparently flew into a tornado at low altitude.",Passenger
5/13/1948,0:00,Mount Coron,France,Skyways of London,unknown,de Havilland Dove 1,de Havilland Dove,10,10,"the aircraft crashed in a storm.  kathleen kennedy cavendish, 28, sister of  president john f. kennedy, killed.",Passenger
5/15/1948,0:00,Vrede,South Africa,Mercury Aviation,Durban - Johannesburg - London,Douglas DC-3-455,Douglas,13,13,crashed into spitzkop mountain after drifting off course in poor weather. the aircraft was named 'miss france.',Passenger
5/16/1948,20:42,Columbus,United States,Slick Airways,"Newark, NJ - Chicago, IL",Curtiss C-46E,Curtiss,2,2,"cargo flight. the in-flight failure of the fuselage carry-in structure beneath the fin, due to extreme turbulence.",Passenger
5/20/1948,0:00,Bovingdon,England,Air Transport Charter,unknown,Douglas C-47A,Douglas,4,3,"cargo flight. while maneuvering at night under the base of low cloud prepatory to landing, the aircraft lost height and struck the ground. the cause of the accident cannot be determined.",Passenger
5/25/1948,0:00,Albacete,Spain,Alpha Airways,unknown,Handley Page Halifax C-8,Handley Page Halifax,4,4,crashed on takeoff.,Passenger
6/10/1948,0:00,Ile of Man,Ile of Man,Hargreaves Airways,unknown,de Havilland DH-89A Dragon Rapide,de Havilland  Dragon Rapide,8,6,unknown,Passenger
6/17/1948,12:41,Mount Carmel,United States,United Air Lines,Chicago - New York City,Douglas DC-6,Douglas,43,43,"the plane crashed after an in-flight fire in cargo hold. the crew discharged carbon dioxide extinguishers into the cargo hold in response to the fire warning. when the plane's nose was lowered for an emergency descent, the carbon dioxide, being heavier than air, accumulated in the cockpit and asphyxiated the crew.  the aircraft crashed through high voltage lines and exploded on a hillside. after the crashes of 10/24/47 and 11/11/47, were a design flaw allowed vented fuel to enter the intake for the cabin heating system, the caa also ordered carbon dioxide extinguishers installed. earl carroll,  u.s. theatrical impresario killed. douglas aircraft company knew of the carbon dioxide danger after two of its test pilots were almost overcome during test flights. they suppressed reports to the caa which resulted in only a warning being added to the flight manual. the aircraft was named mainliner utah.",Passenger
6/26/1948,0:00,Maiquetia,Venezuela,Linea Aeropostal Venezolana,unknown,Douglas DC-3,Douglas,17,1,crashed during a landing attempt.,Passenger
7/1/1948,0:00,Keerbergen,Belgium,Avio Linee Italiane,Milano - Brussels,Fiat G.212CP,Fiat,12,8,crashed after overrunning the runway.,Passenger
7/4/1948,0:00,Northolt,England,Scandinavian Airlines (SAS),unknown,Douglas DC-6 / RAF York MW248,Douglas,32,32,"a midair collision occurred between a sas dc-6 and a royal air force avro york mw248. thirty-two killed on the dc-6, seven on the york.  atc error.",Passenger
7/7/1948,0:00,Djiring,French Indo-China,Aigle Azur,Saigon - Da Lat,Douglas DC-3,Douglas,16,16,crashed into mountains 50 miles southwest of da lat.,Passenger
7/14/1948,0:00,Belem,Brazil,Aerovias Brasil,unknown,Douglas C-47A,Douglas,5,5,the cargo plane lost control and crashed shortly after leaving the runway. the pilot did not apply the procedure recommended by the airline and attempted to make a turn after takeoff below the specified altitude of 100 meters.,Cargo/Service
7/16/1948,0:00,PacifiOcean between Hong Kong and Macao,China,Cathay PacifiAirways,Macau - Hong Kong,Consolidated OA-10 Catalina,Consolidated  Catalina,26,25,the flight crashed after being hijacked and losing control during a struggle in the cockpit. the crew was incapacitated by armed hijackers. first airliner to be hijacked.,Passenger
7/24/1948,0:00,Cap-des-Rosiers,Canada,Rimouski Airlines,Port Meunier - Gaspé,Douglas DC-3,Douglas,26,26,"the aircraft hit a mountain top at cap-des-rosiers, 12 miles from its destination in fog and burned.",Passenger
7/29/1948,0:00,Buenos Aires,Argentina,ALFA,Rosario - Bueno Aires,Short Sandringham 2 (flying boat),Short Sandringham,24,18,crashed and sank near the shore of the river plate while attempting to land in fog.,Passenger
7/29/1948,0:00,Tsingtao,China,Civil Air Transport,unknown,Curtiss C-46D-20-CU,Curtiss,24,19,crashed during a landing attempt.,Passenger
8/1/1948,0:00,1,AtlantiOcean,Air France,Fort de France - Port Etienne,Latecoere 631 (flying boat),Latecoere,52,52,"disappeared in the atlantion a flight from fort. de france, martinique to port etienne, mauritania. the united states coast guard cutter campbell reported finding debris on august 4 with no survivors.",Passenger
8/1/1948,0:00,Karachi,Pakistan,Onzeair,unknown,Avro 691 Lancastrian,Avro  Lancastrian,4,4,"cargo flight. an error in judgement on the part of the pilot in allowing the aircraft to stall while coming in to land. the contributory causes were probably overload, badly loaded with cofg too far aft, movement of load due to it not being secured.",Passenger
8/9/1948,0:00,Port Underwood,New Zealand,New Zealand National Airways,unknown,Douglas C-47B,Douglas,2,2,cargo flight.,Passenger
8/20/1948,0:00,La Guaira,Venezuela,Avensa,La Guaira - Las Piedras,Douglas C-47A,Douglas,3,3,the cargo plane disappeared en route.,Cargo/Service
5/24/1950,0:00,Pasto,Colombia,LANSA,Popayan - Ipiales,Douglas C-47,Douglas,26,25,struck the side of galeras volcano.,Passenger
8/29/1948,17:05,Winona,United States,Northwest Orient Airlines,Chicago - Minneapolis,Martin 202,Martin,37,37,"crashed following the separation of the left wing after the aircraft entered a thunderstorm. loss of the outer panel of the left wing which separated as a result of a fatigue crack which was induced by a faulty design of a wing flange, aggravated by severe turbulence of the thunderstorm.",Passenger
8/31/1948,0:00,Elizabethville,Democratic Republic of the Congo,Sabena,Manono - Elizabethville,Douglas DC-3 (Douglas C-47A-10-DK),Douglas,13,13,crashed en route. reasons undetermined.,Passenger
9/2/1948,0:00,Quirindi,Australia,Australian National Airways,Brisbane - Sidney,Douglas DC-3,Douglas,13,13,"strayed off course and struck square peak mountain at an altitude of 4,600 feet.",Passenger
10/2/1948,0:00,Trondheim,Norway,Norwegian Airlines,Fornebu - Hommelvik,Short Sandringham 6 (flying boat),Short Sandringham,45,19,crashed while attempting to land in crosswinds and high seas.,Passenger
10/20/1948,23:32,Prestwick Airport,Scotland,KLM Royal Dutch Airlines,Amsterdam - Prestwick - New York City,Lockheed 049-46-25 Constellation,Lockheed  Constellation,40,40,"the aircraft was on a flight from amsterdam to new york with a stopover at prestwick scotland. the aircraft attempted to land on runway 32 but the crew choose to go-around due to strong cross winds and asked to land on runway 26.  while circling to line up with the runway, the aircraft ran into a heavy fog bank and crashed into high voltage power lines at an elevation of 400 feet and burst into flames. the crashed occurred 5 miles east-northeast of the airport. improper flight procedures by the crew. lack of information supplied to the crew by the tower. the aircraft was named nijmegen after the old dutch town close to the west german border.",Passenger
10/23/1948,0:00,Mt. Ruapehu,New Zealand,New Zealand National Airways,Palmerston - Hamilton,Lockheed 10A Electra,Lockheed  Electra,13,13,crashed 700 feet from the summit of a mountain while en route.,Passenger
10/27/1948,16:50,Edmonton,Canada,Northwest Orient Airlines,"Edmonton - Anchorage, AK",Douglas C-54A,Douglas,5,2,cargo flight. the captain's action in undertaking simulated emergency procedures at a dangerously low altitude.,Passenger
11/3/1948,10:50,Glossop,England,Military - U.S. Air Force,RAF Scrampton - Burtonwood AFB,Boeing B-29 Superfortress,Boeing  Superfortress,13,13,"twenty-five minutes into the flight, the pilot descended prematurely and collided with a cloud covered mountain.",Military
11/4/1948,5:44,Cape Spencer,United States,PacifiAlaska Air Freight,Yakutat - Annette,Douglas DC-3,Douglas,17,17,lost contact with the aircraft after the crew reported passing cape spencer. the wreckage was never found.  cause undetermined.,Passenger
11/8/1948,7:40,Mt. Macedon,Australia,Australian National Airways,Melbourne - Denilquin,Douglas DC-3,Douglas,23,3,crashed into mt. macedon hidden in fog. the pilot deviated off course from his flight plan and failed to follow vfr flight rules.,Passenger
11/11/1948,0:00,Liverpool,England,Mannin Airways,unknown,de Havilland DH-89A Dragon Rapide,de Havilland  Dragon Rapide,9,8,crashed after running out of fuel.,Passenger
11/26/1948,0:00,Vehari,Pakistan,Pakistan Airways,Karachi - Lohore,Douglas DC-3,Douglas,21,21,"the plane crashed shortly after taking off and climbing to 7,000 feet. the aircraft was seen trailing smoke before crashing in flames. the omission of a sealing washer on the carburetor fuel filter of the port engine resulting in fuel leaking on to the ignition systems, culminating in a severe oil fire which finally involved the main port fuel tanks.",Passenger
12/5/1948,0:00,Kiangwan,China,Central Air Transport,unknown,Curtiss C-46,Curtiss,40,9,"overshot runway, crashed and burned.",Passenger
12/6/1948,0:00,Milan,Italy,,Milan - Brussels,Douglas C-47,Douglas,7,7,the aircraft crashed during takeoff in fog.,Passenger
12/12/1948,0:00,Taipei,China,China National Aviation Corporation,Shanghai - Taipei,Douglas DC-3,Douglas,10,2,crashed while attempting to land.,Passenger
12/15/1948,0:00,Bogata,Colombia,LANSA,Bogota - Barranquilla,Douglas C-47,Douglas,30,30,crashed shortly after taking off from bogata.,Passenger
12/21/1948,0:00,Pilos,Greece,Ceskoslovenske Aerolinie,Rome - Athens,Douglas DC-3,Douglas,23,23,crashed in the taigetos mountains while en route.,Passenger
12/21/1948,0:00,Basalt Island,China,China National Aviation Corporation,Shanghai - Hong Konk,Douglas C-54B-5-DO,Douglas,33,33,"crashed on balsalt island  while attempting a visual approach through clouds. the pilot came down through a hole in the overcast but became trapped when the weather closed in. he reversed course but crashed into a small mountain. pilot error. quentin roosevelt, son of teddy roosevelt killed.",Passenger
12/23/1948,0:00,Madrid,Spain,Iberia Airlines,Madrid - Barcelona,Douglas DC-3 (C-47-DL),Douglas,27,27,crashed into pandols mountain while en route.,Passenger
12/28/1948,4:13,Off San Juan,United States,Airborne Transport,San Juan - Miami,Douglas DC-3,Douglas,32,32,radio contact was lost after the crew reported being 50 nm south of miami. departure from san juan with known electrical problems and discharged batteries. ditched in the gulf of mexico after it ran out of fuel. offical cause unknown.,Passenger
12/31/1948,17:52,Mt. Argentari,Italy,Pan African Air Charter,Athens - Nice,Douglas DC-3,Douglas,12,12,crashed into mt. arbetello in poor visibility. poor visibility and geographical features made recognition of terrain difficult and likely mislead the pilot into believing he was out at sea.,Passenger
1/2/1949,22:05,Seattle,United States,Seattle Air Charter,Seattle - New Haven,Douglas DC-3 (C-47A-DL),Douglas,30,14,"the aircraft took off in fog with a group of yale university students returning to school following their christmas vacation.  about midway down the runway the plane swerved to the left and became airborne.  the left wing dropped the wing tip dragged on the runway.  after about 750 feet, the tail wheel made contact with the runway.  the engines were cut and the plane skidded for 700 feet until it hit a hanger and burst into flames.  the accident was caused by the crew's attempt to take off in an airplane which had formations of ice and frost on the surfaces of the wings.  in addition, the plane was overloaded by 1,500 lbs.",Passenger
1/5/1949,0:00,Caravelas Bay,Brazil,British South American Airways,unknown,Avro 685 York 1,Avro  York,17,3,"a blown tire during takeoff led to damage to the landing gear, engine and oil line. lack of oil caused loss of the engine and the crew was not able to feather the prop. this led to overspeeding and an engine fire. the plane made a spiral descent and crashed to the ground.",Passenger
1/6/1949,7:20,Brandywine,United States,Coastal Cargo,"Raleigh, NC - Boston, MA",Douglas C-47A,Douglas,2,2,"cargo plane. the loss of control of the aircraft which resulted from an icing condition, turbulence, and lack of alertness on the part of the crew. as a result, the aircraft spun, and during the spins, or attempted recovery from the spins, severe airloads were encountered which failed the left horizontal stabilizer and the elevators.",Cargo/Service
1/11/1949,0:00,Pelotas,Brazil,Viacao Aerea Gaucha S.A.,Porto Alegre - Sao Borja,Lockheed 18 Lodestar,Lockheed  Lodestar,12,12,the aircraft crashed shortly after taking off. engine failure due to fuel contamination.,Passenger
1/15/1949,0:00,Ras-el-Tin,Egypt,Pan African Air Charter,unknown,Douglas C-54 Skymaster,Douglas  Skymaster,30,30,ditched in a lagoon.,Passenger
1/16/1949,0:00,Balihal Pass,India,Dalmia Jain Airways,unknown,Douglas DC-3,Douglas,13,13,unknown,Passenger
1/17/1949,13:40,AtlantiOcean,off Bermuda,British South American Airways,Bermuda - Kingston,Avro 688 Tudor 4B,Avro  Tudor,20,20,"lost at sea on a flight from bermuda to kingston, jamaica. the last radio message reported the plane was crossing 30 degrees n.  nothing further was heard from the plane. no wreckage was ever found. the weather was good at the time. the plane was named star ariel. cause undetermined.",Passenger
1/17/1949,9:50,Succoth Glen,Scotland,Military - U.S. Air Force,RAF Scampton - Keflavik - Kansas,Boeing B-29A Superfortress,Boeing  Superfortress,20,20,"the aircraft, part of the 301st bg  15 afw, cashed into mountains after encountering icing conditions.",Military
1/20/1949,20:05,Homer,United States,Alaska Airlines,Homer - Anchorage,Douglas DC-3C,Douglas,6,5,"the aircraft departed homer at night under vfr conditions contrary to company and federal regulations, strayed off course and struck a 3,000 ft. mountain, 27 miles northeast of homer. the action of the pilot in proceeding off the designated airway at an altitude insufficient to clear the terrain.",Passenger
1/30/1949,16:22,Port Washington,United States,Pan American World Airways,unknown,Lockheed L-749 / Cessna 140,Lockheed,35,2,"midair collision. two killed on the cessna, none on the lockheed which laned safely. the joint failure of the constellation pilots to observe and avoid the cessna aircraft in flight and of the cessna pilot, while on an airway and in an area where a heavy concentration of trafficould be expected, to remain alert and avoid the constellation.the aircraft was named clipper monarch of the skies.",Passenger
2/2/1949,0:00,Trinity Bay,Newfoundland,Saint Lawrence Airways,unknown,Avro Anson,Avro Anson,6,6,unknown,Passenger
2/4/1949,0:00,Castel Benito,Libya,Skyways of London,Khartoum - Castel Benito,Douglas C-54A-1-DO Skymaster,Douglas  Skymaster,53,1,"the no. 4, followed by the no. 3 engines failed on initial approach. the plane lost altitude and crashed into trees.  failure of the captain to maintain a safe height, by utilizing the available power of the starboard engines after power failure in the port engine. the reason for this failure by the captain cannot be determined. the power failure in the port engines was caused by fuel starvation brought about by an insuffuciency of fuel in the port tanks. this fuel shortage was the result of the wing tanks being allowed to become progressively unbalanced during the last stage of the flight.",Passenger
2/5/1949,0:00,Buenaventura Bay,Colombia,AVIANCA,unknown,Consolidated PBY-5A Catalina,Consolidated  Catalina,14,3,crashed while attempting to land.,Passenger
2/8/1949,19:56,Off Copenhagen,Denmark,Scandinavian Airlines (SAS),Paris - Copenhagen,Vickers 628 Viking 1B,Vickers  Viking,27,27,"crashed in the sea off the swedish coast after the pilot was told to enter a holding pattern for copenhagen, since it was closed to inbound traffic. the aircraft was directed to land on runway 22 but failed to make the landing. the wreckage was found a month later on the bottom of the ocean. cause undetermined.",Passenger
2/10/1949,0:00,Huanuco,Peru,Faucett,Tingo Maria - Huanuco,Douglas DC-3,Douglas,16,16,struck a mountain as the plane approached huanuco.,Passenger
2/19/1949,0:00,Coventry,England,British European Airways / Military - British,London - Glasgow,Douglas DC-3 / Avro Anson,Douglas,14,14,"midair collision between a dc-3 and a raf avro anson at 4,500 feet.  both planes disintegrated and fell to the ground. ten killed on the dc-3, four on the avro anson. failure on the part of the pilot of each aircraft to ensure the maintenance of an effective lookout.",Military
2/24/1949,0:00,Braemar Resevoir,China,Cathay PacifiAirways,"Manila, Philippines - Hong Kong",Douglas DC-3,Douglas,23,23,crashed near braemar resevoir after a go-around in poor weather.,Passenger
11/15/1951,0:00,Lodz,Poland,LOT Polish Airlines,unknown,Douglas DC-3,Douglas,16,16,crashed during takeoff.,Passenger
3/10/1949,9:50,Coolangatta,Australia,Queensland Airlines,Coolangatta - Brisbane,Lockheed 18 Lodestar,Lockheed  Lodestar,16,16,"crashed on takeoff from coolangatta.  after becoming airborne, the aircraft was seen to climb very steeply and stall when at a height of 300 ft., roll to the left and crash.",Passenger
3/15/1949,0:00,Berlin,Germany,Skyways,unknown,Avro 685 York I,Avro  York I,3,3,the cargo plane crashed while attempting to land.,Cargo/Service
3/18/1949,9:40,Waikanae,New Zealand,New Zealand National Airways,Auckland - Wellington,Lockheed 18 Lodestar,Lockheed  Lodestar,15,15,crashed into a hill while on approach.,Passenger
5/4/1949,17:04,Superga,Italy,Avio Linee Italiane,Barcelona - Torino,FIAT G-212CP,FIAT,31,31,"the aircraft was returning on a flight from lisboa to milan with the torino soccer team when the crew decided to land directly at turin, homebase to the team. in low visibility, rain and thunderstorms, the left wing of the plane struck a wall surrounding the sanctuary of superga, a mountain near turin. the aircraft then pivoted, and disintegrated next to the sanctuary killing all aboard.  error in navigation and poor visiblity.",Passenger
5/7/1949,16:00,Sibuyan Sea,off the Philippine island of Elalat,Philippine Air Lines,Daet - Manila,Douglas DC-3,Douglas,13,13,"the plane was on a flight from daet, camarines to manila when it crashed after experiencing a violent explosion in the tail of the aircraft. two ex-convicts confessed to planting a time bomb aboard the flight in order to kill the husband of a woman involved with another man.",Passenger
6/6/1949,0:00,Malahasa Attica,Greece,Tech - Aeronautical Explotiation,Kavallo - Athens,Douglas DC-3,Douglas,22,22,crashed into a mountainside 30 miles northeast of athens.,Passenger
6/7/1949,14:00,Florianpolis,Brazil,Military - Brazilian Air Force,Florianpolis - Porto Alegre,Douglas C-47B,Douglas,27,27,the aircraft crashed into a mountain shortly after taking off from florianpolis.,Military
6/7/1949,0:25,San Juan,United States,Strato Freight,San Juan - Miami,Curtiss C-46D-5-CU,Curtiss,81,53,"the aircraft crashed into the atlantiocean during takeoff after a loss of the no. 2 engine. the loss of power in the right engine before the aircraft could attain the optimum single engine climb speed, which together with being overloaded resulted in the aircraft losing altitude and ditching into the ocean. incorrect spark plugs installed on the no. 2 engine.",Passenger
6/23/1949,0:00,Off Bari,Italy,KLM Royal Dutch Airlines,Batavia - Amsterdam,Lockheed 749-79-33 Constellation,Lockheed  Constellation,33,33,crashed into bari harbor while en route from cairo via athens to rome. witnesses observed smoke from an engine followed by smoke from the other engines and fuselage prior to the crash. the plane broke-up in flight.,Passenger
7/2/1949,0:00,Guildford,Australia,MaRoberston-Miller Airlines,Guildford - Darwin,Douglas C-47A-20-DL,Douglas,18,18,the plane crashed and burst into flames into a housing camp south of guildford shortly after taking off.,Passenger
7/12/1949,3:50,Bombay,India,KLM Royal Dutch Airlines,Delhi - Bombay,Lockheed L-749-79-33 Constellation,Lockheed  Constellation,45,45,"while circling in a blinding monsoon rainstorm, the aircraft crashed into 674 ft. high ghatkopar hill, 3 miles ene of the airport. crew error. pilots decision to land in weather below prescribed minimums in an area he was not familiar with.",Passenger
7/12/1949,7:43,Chatsworth,United States,Standard Airlines,Albuquerque - Burbank,Curtiss C-46E-1-CS,Curtiss,48,35,the plane was flying in level flight with the gear down. the right wing tip brushed the side of a hill pulling the plane around 90 degrees. it hit the ground and bounced 300 feet into the air and crashed. pilot's action in descending below the prescribed minimum altitude while executing an ils approach.,Passenger
7/19/1949,21:01,Seattle,United States,Air Transport Associates,Seattle - Chicago,Curtiss C-46F-1-CU,Curtiss,32,2,a power failure occurred in the no. 1 engine on takeoff and the pilot cut power to both engines and discontinued takeoff.  he then apparently changed his mind and applied power. the left engine continued to malfunction and the aircraft collided with power lines and crashed into houses. use of improper fuel necessitated operating the aircraft's engines in excess of  operating limits resulting in engine failure. decision to takeoff after the failure of the left engine.,Passenger
7/30/1949,10:45,Chesterfield,United States,Eastern Air Lines / Military - USN,New York City - Wilmington,Douglas DC-3 -201D/ F-6-F- 5 Hellcat,Douglas     Hellcat,16,16,"midair collision with a us navy f-6f.  the f-6f was buzzing a small private aircraft which was cruising below the dc-3. the f-6f had pulled up into a climbing turn and collided with the dc-3. all fifteen killed on the dc-3, and one on the f-6f. reckless conduct of the navy pilot in performing aerobatimaneuvers on a civil airway.",Military
8/2/1949,11:30,Jaquirana,Brazil,Varig,Sao Paulo - Porto Alegre,Curtiss C-46D-10-CU,Curtiss,36,5,"twenty minutes before arriving a porto alegre, a fire was discovered in cargo hold 'g.'  the pilot executed an emergency descent while the crew tried to extinguish the flames to no avail. as the plane attempted to land, the panicking passengers rushed to the front of the plane to escape the flames causing the center of gravity to change, resulting in a hard landing. the cause of the fire in the hold 'g' was not determined.",Passenger
8/3/1949,0:00,Sao Francisco Bay,Brazil,Lineas Aéreas Brasil,unknown,Douglas DC-3,Douglas,30,5,both the no. 1 and no. 2 propellers detached in flight which led to the crew ditching the plane close to shore.,Passenger
8/6/1949,0:00,Salasaca,Ecuador,Shell Co of Ecuador,Mers Nueva - Ambato,Bristol 170 Freighter 21,Bristol  Freighter,34,34,the aircraft was part of relief efforts of the ecuador earthquake.,Passenger
8/15/1949,0:00,Off Lurga Point,Ireland,Transocean Air Lines,Rome - Shannon,Douglas DC-3 (C-54A-DO),Douglas,58,8,"fuel exhaustion forced the plane to ditch in the atlantiocean, 15 km off the coast of ireland. the plane stayed afloat for 15 minutes but 8 occupants died due to exposure or drowning. failure of the captain to properly supervise the crew while en route.",Passenger
8/19/1949,12:00,Oldham,England,British European Airways,Belfast - Manchester,Douglas DC-3,Douglas,24,24,"crashed into a cloud shrouded 1,500 ft.  mountain 15 nm short of its destination.  navigational error and improper approach procedure. failure to check the position of the aircraft accurately before descent from a safe altitude.",Passenger
8/21/1949,23:30,Bigstone Lake,Manitoba,Military - Royal Canadian Air Force,Churchhill - Winnipeg,Consolidated Canso (amphibian),Consolidated Canso,21,21,crashed and burned in a wooded area after entering an area of thunderstorms.,Military
8/27/1949,0:00,Leopoldville,Zaire,Sabena,Leopoldville - Elizabethville,Douglas C-47B-5-DK,Douglas,20,5,the aircraft did not achieve a proper climb rate after taking off and crashed while making a low altitude right turn. water in the fuel and excessive lead on the spark plugs.,Passenger
9/9/1949,10:45,Sault-aux-Cochons,Canada,Canadian PacifiAir Lines,Montreal - Comeau Bay,Douglas DC-3,Douglas,23,23,"the aircraft disintegrated in flight 40 miles outside of quebec.  detonation of a dynamite bomb in the forward baggage compartment. planted by albert guay, a jeweler, in a plot to kill his wife who was a passenger on the plane. guay, who assembled the bomb, had his accomplice, marguerite pitre, air express the bomb on the aircraft. ms. pitre's brother, a clockmaker, helped make the timing mechanism. the insurance policy was for 10,000 dollars.  all three were hanged for their crimes.",Passenger
9/26/1949,0:00,Mt. Popocatepetl,Mexico,Mexicana,Tapacula - Mexico City,Douglas DC-3,Douglas,24,24,"crashed into a 15,000 ft. snow covered volcano, mt. popocatepetl.",Passenger
9/27/1949,0:00,Castilla,Argentina,Flota Aérea Mercante Argentina,unknown,Douglas C-54A-1-DO,Douglas,27,5,crashed after an in-flight fire. the plane tried to make a forced landing but crashed before reaching the air strip. returning from a mercy mission in ecuador for earthquake relief.,Passenger
10/9/1949,0:00,Cheyenne,United States,Slick Airways,Las Vegas - Denver,Curtiss C-46E-1-CS,Curtiss,4,4,"diverted to cheyenne, while on approach, the aircraft crashed 2.5 miles short of the runway after encountering severe turbulence and icing. loss of control of the aircraft during an instrument approach to cheyenne, under conditions of heavy icing and severe turbulence.",Passenger
10/28/1949,2:50,San Miguel Island,Azores,Air France,Paris - Santa Maria - New York City,Lockheed 749-79-33 Constellation,Lockheed  Constellation,48,48,"while attempting for the third time to land at santa maria, the aircraft, flew into redondo mountain at 2,950 ft. on san miguel island. crew error. failure to carry out either of the two approach procedures adopted for santa maria airport. false position report give by crew. inadequate navigation.  failure to identify santa maria airport when flying in vfr conditions. french middleweight boxing champion marcel cerdan, 33, and french violinist, ginette neveu killed.",Passenger
11/1/1949,11:45,Arlington,United States,Eastern Air Lines / Military - Bolivian Air Force,Boston - Washington D.C. - New Orleans,Douglas C-54B / P-38,Douglas,55,55,"midair collision. the p-38 hit the airliner from above. both planes crashed into the potomariver. the pilot of the p-38 survived and was accused of causing the accident by executing  a straight in approach without proper clearance. he was later tried and cleared of the charges. atc error.  george bates, u.s. representative from massachusetts and michael kennedy, u.s. representative from new york killed. helen hokinson, 56, cartoonist for the new yorker magazine, also among the dead.",Military
11/4/1949,21:34,Akron,United States,Harrington's Inc,Philadelphia - Cleveland,Douglas DC-3,Douglas,3,3,the cargo plane collided with trees short of the runway while attempting to land. the improper execution of an instrument approach which resulted in the aircraft being flown to the right of the proper approach path at an altitude too low to clear the terrain.,Cargo/Service
